file_name,package,minor,major,total,ownership,num_of_bugs
DocValuesRewriteMethod.java,org.apache.lucene.search,0,1,2,0.5,1
InfoStream.java,org.apache.lucene.util,0,0,1,1.0,0
IndexDeletionPolicy.java,org.apache.lucene.index,0,0,1,1.0,0
NoOutputs.java,org.apache.lucene.util.fst,0,1,2,0.5,0
PerFieldPostingsFormat.java,org.apache.lucene.codecs.perfield,0,3,4,0.5454545454545454,0
SpanNotQuery.java,org.apache.lucene.search.spans,0,1,2,0.6666666666666666,6
SpanWeight.java,org.apache.lucene.search.spans,0,2,3,0.3333333333333333,9
BlockPackedReader.java,org.apache.lucene.util.packed,0,1,2,0.5,0
FuzzyTermsEnum.java,org.apache.lucene.search,0,2,3,0.7142857142857143,0
DoubleDocValuesField.java,org.apache.lucene.document,0,1,2,0.5,0
Lucene50SkipReader.java,org.apache.lucene.codecs.lucene50,0,1,2,0.5,0
CompressionTools.java,org.apache.lucene.document,0,0,1,1.0,0
Automata.java,org.apache.lucene.util.automaton,0,1,2,0.6666666666666666,0
PostingsReaderBase.java,org.apache.lucene.codecs,0,2,3,0.4,0
TotalHitCountCollector.java,org.apache.lucene.search,0,0,1,1.0,1
SegmentWriteState.java,org.apache.lucene.index,0,1,2,0.6666666666666666,0
BooleanQuery.java,org.apache.lucene.search,0,4,5,0.47058823529411764,7
Weight.java,org.apache.lucene.search,0,2,3,0.6363636363636364,1
SortField.java,org.apache.lucene.search,0,2,3,0.5,0
ByteRunAutomaton.java,org.apache.lucene.util.automaton,0,0,1,1.0,0
DocumentsWriterFlushQueue.java,org.apache.lucene.index,0,1,2,0.6666666666666666,0
Direct8.java,org.apache.lucene.util.packed,0,1,2,0.5,0
PrintStreamInfoStream.java,org.apache.lucene.util,0,0,1,1.0,6
MultiTermsEnum.java,org.apache.lucene.index,0,0,1,1.0,2
SearcherLifetimeManager.java,org.apache.lucene.search,0,0,1,1.0,0
MultiDocValues.java,org.apache.lucene.index,0,3,4,0.47368421052631576,0
